sentence,language,langdetect,lingua
"El hombre rico se subió al barco y partió en busca del oro, pero cuando el barco navegaba en medio del mar, Ma Liang dibujó una ola enorme que impactó contra el barco y lo mandó al fondo del mar.",es,es,es
"Desde entonces, nadie volvió a ver jamás al hombre rico en la aldea.",es,es,es
"Once upon a time there were three Billy-Goats Gruff; Little Billy-Goat, Middle-Sized Billy Goat and Great Big Billy-Goat, who lived in a field in a green valley.",en,en,en
"They loved to eat sweet grass, but sadly their field was now brown and barren because they were greedy goats and they’d eaten every last blade of grass.",en,en,en
But they were still hungry.,en,en,en
"In the distance, they could see a field that was full of lush sweet scrummy grass, but alas there was only one way to get to it – over a rickety bridge over a stream.",en,en,en
But under the bridge lived a terrifically terrifying terrible troll called Trevor – he was always hungry too.,en,en,en
And there was nothing he liked better than to eat a nice juicy billy-goat.,en,en,en
The Little Billy-Goat was the first to reach the bridge.,en,en,en
"Gingerly, he put one hoof and then another onto the bridge.",en,en,en
"But because it was so rickety, however hard he tried, his hoof still went trip trap, trip trap on the wooden planks.",en,en,en
Suddenly there was a huge roar.  ,en,en,en
‘Who’s that trip trapping over my bridge?’,en,en,en
And out from under the bridge loomed the Troll.,en,en,en
"Quaking in his hooves, Little Billy-Goat Gruff managed to squeak, ‘It’s only me.",en,en,en
I’m only going to look for some grass to eat.’,en,en,en
‘Oh no you’re not!,en,pt,en
"I’m going to eat you for my breakfast, lunch and tea!’",en,en,en
‘Oh no!’ said terrified Little Billy-Goat Gruff.,en,en,en
‘I’m just Little Billy-Goat Gruff.,en,en,en
Why don’t you wait for my brother?,en,en,en
He’s bigger than me and much tastier.’,en,en,en
So the greedy Troll decided to wait and Little Billy-Goat Gruff skipped over the bridge and began to eat the fresh green grass on the other side.,en,en,en
The other goats saw Little Billy-Goat Gruff eating the fresh green grass and were jealous because they wanted some too.,en,en,en
So Middle-Sized Billy-Goat Gruff went down to the bridge and began to cross the stream.,en,en,en
"Trip, trap, trip, trap went his middle-sized hooves.",en,en,en
Again the Troll loomed out from under the bridge.,en,en,en
‘Who’s that trip trapping over my bridge?’,en,en,en
he roared.  ,en,en,en
"Quaking in his hooves, Middle-Sized Billy-Goat Gruff managed to say in his softest voice, ‘It’s only me.",en,en,en
"I’m following my brother, Little Billy-Goat Gruff, so I can eat the sweet grass.’",en,en,en
‘Oh no you’re not!,en,pt,en
"* C’erano una volta tre capretti furbetti, un capretto piccolo, un capretto medio e un capretto grande, che vivevano sulla cima di un campo, in una valle verde.",it,it,it
"Amavano mangiare l’erba dolce, ma ora, tristemente, il loro campo era marrone e brullo perché i capretti erano golosi e avevano mangiato tutta l’erba, lasciando solo radici e terra.",it,it,it
"Nonostante ciò, avevano ancora fame.",it,it,it
"In lontananza, riuscivano a vedere un campo zeppo d’erba da leccarsi i baffi, ma sfortunatamente c’era solo un modo in cui si poteva raggiungerlo – passando sopra un ponte traballante sopra a un ruscello.",it,it,it
"Tuttavia, un troll terrificante e terribile abitava sotto il ponte - e aveva sempre fame.",it,it,it
Il suo cibo preferito era un capretto buono e succoso.,it,it,it
Il capretto piccolo fu il primo a raggiungere il ponte.,it,it,it
"Con cautela, cominciò a salire sul ponte ma poiché era così traballante, e malgrado cercasse di attraversarlo in silenzio, i suoi zoccoli facevano troppo rumore sulle tavole di legno.  ",it,it,it
"Clic, clac, clic, clac … All’improvviso ci fu un ruggito enorme.",it,it,it
<< Chi osa attraversare il mio ponte?,it,it,it
">> E dal sotto il ponte, il troll emerse.",it,it,it
"Tremando di paura, il capretto piccolo chiamò a raccolta tutta la forza e rispose con una voce debole << Solo sono io.",it,it,it
Cerco solo un po’ di erba da mangiare.,it,it,it
>> << Non credo proprio!,it,es,it
"Ti mangerò per colazione, pranzo e cena!",it,it,it
">> << Oh no! >> disse il capretto, terrorizzato.",it,it,it
<< Io sono solo il capretto piccolo.,it,it,it
Perché non aspetti mio fratello?,it,it,it
È più grande e anche più gustoso.,it,it,it
">> * Quindi, il troll ingordo decise di aspettare e il capretto piccolo saltellò sopra il ponte e cominciò a mangiare l’erba fresca e verde dall’altro lato.",it,it,it
Gli altri due capretti videro che il capretto piccolo stava mangiando quell’erba così fresca e verde e erano invidiosi perché ne volevano anche loro.,it,it,it
Così il capretto medio scese al ponte e cominciò ad attraversare il ruscello.,it,it,it
"Ma, come per il capretto piccolo, gli zoccoli del medio facevano tantissimo rumore sulle tavole di legno.",it,it,it
"Clic, clac, clic, clac … Ancora una volta, il troll emerse da sotto il ponte.  ",it,it,it
Ruggì il troll.,it,it,en
"Tremando con terrore, il capretto medio riuscì a rispondere con una voce rammollita.",it,it,it
<< Sono solo io.,it,it,it
"Sto seguendo mio fratello, il capretto piccolo, per mangiare l’erba dolce.",it,it,it
>> << Non credo proprio!,it,it,it
"Ti mangerò per colazione, pranzo e cena!",it,it,it
三兄弟都很喜欢甜美的青草，然而由于他们太贪吃，总是连一片叶子也不放过，现在他们生活的谷地已经光秃秃没有草可以吃了。,zh-cn,zh-cn,zh-cn
可是，三兄弟还是觉得很饿。,zh-cn,zh-cn,zh-cn
他们远远地看到，有一片田野上长满了茂盛又美味的青草。,zh-cn,zh-cn,zh-cn
然而，想去那里只有一个办法：必须经过一座摇摇晃晃的桥。,zh-cn,zh-cn,zh-cn
桥下有一条小溪，那儿住着一个非常非常可怕的巨人，特雷弗。,zh-cn,zh-cn,zh-cn
他也常常感到饥饿，而且对他来说，没有比山羊更好吃的食物了。,zh-cn,zh-cn,zh-cn
小格拉夫是第一个抵达那座桥的，他小心翼翼地把一只蹄子踏上去，然后再放上另一只。,zh-cn,zh-cn,zh-cn
可是桥实在晃得太厉害了，不管他怎么努力，他的蹄子走在桥上时还是发出了嘎啦嘎啦的声音。,zh-cn,zh-cn,zh-cn
突然，一声惊人的咆哮响起：    “是谁在我的桥上嘎啦嘎啦作响？” 巨人的身影出现在了桥下。,zh-cn,zh-cn,zh-cn
小格拉夫颤抖着蹄子，挤出声音回答到：“是我，我只是想去到那边吃点儿草。”,zh-cn,zh-cn,zh-cn
“噢，可惜你去不了了！,zh-cn,zh-cn,zh-cn
我要把你当作早餐午餐还有茶点一起吃掉！”,zh-cn,zh-cn,zh-cn
“不，不要啊！”,zh-cn,ko,zh-cn
吓坏了的小格拉夫说。,zh-cn,zh-cn,zh-cn
“我只是一只小山羊，你为什么不等我的哥哥来呢？,zh-cn,zh-cn,zh-cn
他可比我大多了，也好吃多了。”,zh-cn,zh-cn,zh-cn
* 贪心的巨人决定等待他的哥哥，于是便让小格拉夫过桥去吃草。,zh-cn,zh-cn,zh-cn
另外两只山羊看到小格拉夫吃上了新鲜美味的青草，感到十分羡慕，也都想过去吃。,zh-cn,zh-cn,zh-cn
于是格拉夫也来到了桥边想试着过桥，嘎啦，嘎啦，他移动着自己比小格拉夫大一号的蹄子。,zh-cn,zh-cn,zh-cn
巨人的身影再次出现在了桥下。,zh-cn,zh-cn,zh-cn
“是谁在我的桥上嘎啦嘎啦作响？”,zh-cn,zh-cn,zh-cn
他咆哮着。,zh-cn,zh-cn,zh-cn
格拉夫颤抖着蹄子，一边试着用最温柔的声音回答到：“是我。,zh-cn,zh-cn,zh-cn
我跟着我的弟弟小格拉夫过来的，我也想去吃点儿草。”,zh-cn,zh-cn,zh-cn
“噢，可惜你去不了了！,zh-cn,zh-cn,zh-cn
我要把你当作早餐午餐还有茶点一起吃掉！”,zh-cn,ko,zh-cn
“噢，不，巨人先生，你不会想吃掉我的。,zh-cn,zh-cn,zh-cn
我不够大，填不饱你的肚子。,zh-cn,zh-cn,zh-cn
还是等我大哥过来吧，他比我好吃多了。”    ,zh-cn,zh-cn,zh-cn
“哦，好吧。”,zh-cn,zh-cn,zh-cn
"Todos ellos, vivían en una pradera situada en un precioso valle verde.",es,es,es
Les encantaba comer el dulce césped del valle.,es,ca,es
"Sin embargo, su pradera se estaba volviendo cada vez más seca y menos fértil, porque eran unos cabritos muy glotones que se habían comido hasta la última hoja de césped.",es,es,es
"Aun así, seguían teniendo más hambre.",es,es,es
"En la distancia, podían ver una pradera repleta del césped más verde y delicioso que jamás habían visto, pero lamentablemente, la única forma de llegar a ella era a través de un tambaleante puente que cruzaba un arroyo.",es,es,es
"Además, bajo ese mismo puente, vivía un terrible, terrorífico y tenebroso trol llamado Trevor que, al igual que los cabritos, siempre tenía un hambre voraz.",es,es,es
"Y no había nada que más le gustara en el mundo, que unos apetitosos cabritos bien alimentados.",es,es,es
El cabrito más pequeño fue el primero en llegar al puente.,es,es,es
"Cautelosamente, fue poniendo una patita detrás de otra y comenzó a cruzar el puente.",es,es,es
"Sin embargo, el tambaleo del puente hizo que las pezuñas del cabrito golpearan contra la madera con un fuerte traqueteo.",es,es,es
"Y, de repente, se pudo escuchar un tremendo rugido.  ",es,es,es
—¿Qué es ese traqueteo sobre mi puente?,es,fr,es
El trol comenzó a asomarse amenazante debajo del puente.,es,es,es
"El cabrito pequeño, temblando de miedo, se armó de valor para balar estas palabras: —Solo soy yo.",es,es,es
Solo quería cruzar el puente para comer un poco de césped.,es,es,es
"—¡De eso nada! ¡El que te va a comer soy yo de desayuno, comida y cena!",es,es,es
"—¡No, por favor! —suplicó el cabrito pequeño—.",es,es,es
Soy el cabrito más pequeño de la familia.,es,es,es
¿Por qué no esperas a que llegue mi hermano?,es,es,es
Es más grande y jugoso que yo.,es,es,es
"* Tan avaricioso como era, el trol decidió esperar.",es,es,es
El cabrito pequeño consiguió cruzar el puente y comenzó a degustar el césped fresco de la pradera.,es,es,es
"Los otros cabritos vieron al más pequeño pastar, llenos de envía al querer estar en su misma posición.",es,es,es
"Por ello, el cabrito mediano se acercó al puente y comenzó a cruzar el arroyo.",es,es,es
Sus pezuñas comenzaron a traquetear tan pronto como tocaron la madera.,es,es,es
"De nuevo, el trol se asomó desde debajo del puente.",es,es,es
—¿Qué es ese traqueteo sobre mi puente?  ,es,es,es
—volvió a rugir.  ,es,ca,es
"Con las patitas temblando de miedo, el cabrito mediano dijo con su voz más suave: —Solo soy yo.",es,es,es
Seguía los pasos de mi hermanito pequeño para comer un poco de césped.,es,es,es
Yasin’s family moved from Iraq to England when he was just a young boy.,en,en,en
Yasin did not want to leave his home in Samarra but his father said that it was best for the family because it was not safe to live there anymore and he wanted his son to grow up in a country that was accepting of all people.,en,en,en
Yasin’s father told his son that England was a multicultural country where people lived and worked together regardless of race or religious beliefs.,en,en,en
"Although Yasin was not happy about leaving Iraq, he soon settled into his new life in a big city called London.",en,en,en
"London was very exciting with its tall buildings and museums, and Yasin especially liked the London Planetarium and the big River Thames with all of its old bridges.",en,en,en
"Yasin even made friends with a boy who lived next door, called Andrew.",en,en,en
"All summer long, Andrew and Yasin played in the park or went to the zoo with Andrew’s mum.",en,en,en
Andrew shared his toys and his comics with Yasin and told him all about his favourite superheroes.,en,en,en
They even built a camp in Yasin’s back garden where they would hide from the grownups.,en,en,en
The summer was a fun time and young Yasin soon felt quite at home in London even though it was a very big city and not nearly as sunny and hot as it was in Samarra.,en,en,en
"His English got better and better, especially with help from Andrew, although there were a lot of words that Yasin did not understand and he often felt silly because he couldn’t speak as well as he would like.",en,en,en
"When September finally came around and the leaves began to fall from the trees, Yasin’s father explained that it was time for his son to go to school.",en,en,en
Yasin was seven years old so he would be going to year three of the local primary school – the same year as his friend Andrew!,en,en,en
"Although Yasin was very nervous about going to school, his father and mother assured him that it would be a fun place where he would meet lots of new friends and learn lots of interesting new things.",en,en,en
"‘English schools are supposed to be very good,’ said Yasin’s mother.",en,en,en
"‘And your English will get better in no time,’ assured his father.",en,en,en
"Yasin was still not convinced, but when Andrew knocked on the door that morning with a big smile on his face saying how fun it was going to be at school, Yasin felt much better because he trusted his friend.",en,en,en
The two boys chatted all the way to the school gates.,en,en,en
Andrew told Yasin about the playground and who was the best teacher and what boys were the most fun and what girls were pretty and how they often served custard for pudding at lunchtimes.,en,en,en
"Yasin did not know what custard was, but Andrew looked very excited about it so Yasin thought it must taste very good.",en,en,en
"But when the boys got to their class, things did not go how Yasin imagined they would.",en,en,en
The teacher told Andrew to take a seat at the front of the class as she introduced Yasin to the rest of the children.,en,en,en
He did not like standing up in front of the class and one boy shouted that he was a smelly foreigner.,en,en,en
"The boys and girls all laughed, and then another boy made fun of Yasin’s accent when he was asked to say his name and where he came from.",en,en,en
"‘I can’t understand him, miss.",en,de,en
"He can’t even speak English,’ said the nasty boy.",en,en,en
"Finally, Yasin was allowed to take a seat at the back of the class but he wished that he was sitting next to Andrew as he felt very alone.",en,en,en
"The girl sitting beside him kept looking at him in a strange way that made Yasin uncomfortable, and during the lesson she put her hand up and asked the teacher if she could move places.",en,en,en
Yasin did not understand what he had done to offend the girl.,en,en,en
"When the bell went, it was time to go out into the playground.",en,en,en
Yasin non voleva lasciare la sua casa a Samarra;,it,it,it
"ma suo padre gli disse che era la cosa migliore da fare per la famiglia, dato che non era più sicuro vivere là, e voleva che suo figlio crescesse in un paese che accettasse chiunque.",it,it,it
"Il padre di Yasin disse a suo figlio che l’Inghilterra era un paese multiculturale dove le persone vivevano e lavoravano insieme, indipendentemente dalla loro etnia e fede religiosa.  ",it,it,it
"Sebbene Yasin non fosse contento di lasciare l’Iraq, egli si abituò presto alla sua nuova vita in una grande città chiamata Londra.",it,it,it
"Londra era molto interessante con i suoi grandi edifici e musei, e a Yasin piacque specialmente il Planetario di Londra e il grande fiume Tamigi con tutti i suoi antichi ponti.",it,it,it
Yasin fece persino amicizia con un bambino che viveva accanto a casa sua che si chiamava Andrew.,it,it,it
"Durante tutta l’estate, Andrew e Yasin giocavano al parco o andavano allo zoo con la madre di Andrew.",it,it,it
Andrew condivideva i suoi giochi e i suoi fumetti con Yasin e gli raccontava tutto a proposito dei suoi supereroi preferiti.,it,it,it
Costruirono addirittura un campeggio nel giardino di casa di Yasin dove si sarebbero nascosti dagli adulti.,it,it,it
"L’estate fu molto divertente e il giovane Yasin si sentì presto abbastanza a suo agio a Londra, sebbene fosse davvero una grande città e neanche lontanamente calda e assolata come lo era Samarra.",it,it,it
"Il suo inglese migliorò sempre di più, specialmente grazie all’aiuto di Andrew, anche se Yasin non capiva molte parole e si sentiva ridicolo, dato che lui non riusciva a parlare tanto bene quanto avrebbe voluto.",it,it,it
"Quando settembre finalmente arrivò e le foglie iniziarono a cadere dagli alberi, il padre di Yasin spiegò a suo figlio che era giunto per lui il momento di andare a scuola.",it,it,it
"Yasin aveva sette anni, quindi sarebbe dovuto andare in seconda elementare nella scuola di zona – nella stessa classe del suo amico Andrew!",it,it,it
"Anche se Yasin era molto nervoso all’idea di andare a scuola, suo padre e sua madre lo rassicurarono dicendogli che sarebbe stato un posto divertente dove avrebbe conosciuto tanti nuovi amici e imparato molte cose nuove e interessanti.  ",it,it,it
"‘Le scuole inglesi sono considerate molto buone’, disse la madre di Yasin.  ",it,it,it
"‘E imparerai alcune cose davvero interessanti e il tuo inglese migliorerà in un attimo,’ assicurò suo padre.  ",it,it,it
"Yasin non era ancora convinto, ma quando Andrew bussò alla porta quella mattina con un grande sorriso sulla sua faccia dicendo quanto divertente la scuola sarebbe stata, Yasin si sentì molto meglio perché si fidava del suo amico.  ",it,it,it
I due bambini chiacchierarono durante tutto il tragitto fino al cancello di scuola:,it,it,it
"Andrew disse a Yasin dell’area giochi, chi era il maestro migliore e quali bambini erano i più divertenti e quali bambine erano le più carine, e di come spesso servivano crema pasticcera con il dolce durante la pausa pranzo.",it,it,it
"Yasin non sapeva che cosa fosse la crema pasticcera, ma Andrew sembrava molto contento, quindi Yasin pensò che sarebbe stata molto buona.",it,it,it
"Ma quando i bambini arrivarono nella loro classe, le cose non andarono come Yasin aveva immaginato.",it,it,it
La maestra disse a Andrew di sedersi davanti alla classe mentre presentava Yasin al resto dei bambini.,it,it,it
A lui non piacque stare in piedi davanti alla classe e un bambino gli urlò che era uno straniero puzzolente.,it,it,it
"Tutti i bambini e le bambine risero, e poi un altro bambino prese in giro Yasin per il suo accento, dopo che gli venne chiesto qual era il suo nome e da dove veniva.  ",it,it,it
"‘Non lo capisco, maestra.",it,es,it
Non può nemmeno parlare inglese’ disse l’odioso bambino.  ,it,it,it
"Finalmente Yasin poté sedersi in fondo alla classe, ma avrebbe voluto sedersi vicino ad Andrew dato che si sentiva molto solo.",it,it,it
"La bambina seduta vicino a lui continuava a guardarlo in una maniera così strana che fece sentire Yasin a disagio, e durante la lezione alzò la mano e chiese alla maestra se poteva cambiare posto.",it,it,it
Yasin non capiva che cosa aveva fatto per offendere la bambina.  ,it,it,it
"Quando la campana suonò, era giunto il momento di uscire e andare nell’area giochi.",it,it,it
亚森并不想离开萨麦拉的家，但是爸爸说离开是为了全家人好，因为住在那里已经不安全了，而且他想让儿子在能够在一个包容接纳所有人的国家里长大。,zh-cn,zh-cn,zh-cn
亚森的爸爸告诉儿子，英格兰是个文化多元的国家，来自不同种族和信仰的人都能在那里一起生活和工作。,zh-cn,zh-cn,zh-cn
虽然亚森并不高兴离开伊拉克，但他还是很快融入了在大城市伦敦的新生活。,zh-cn,zh-cn,zh-cn
伦敦是个非常让人兴奋的城市，它有许多的高楼大厦和博物馆。,zh-cn,zh-cn,zh-cn
亚森特别喜欢伦敦天文馆，还有长长的泰晤士河和河上的那些老桥。,zh-cn,zh-cn,zh-cn
亚森还和住在隔壁的小男孩安德鲁成为了朋友。,zh-cn,zh-cn,zh-cn
整个夏天，安德鲁和亚森都在公园里玩耍，或者和安德鲁的妈妈一起去动物园。,zh-cn,zh-cn,zh-cn
安德鲁和亚森分享他的玩具和漫画，告诉他所有自己最喜欢的超级英雄。,zh-cn,zh-cn,zh-cn
他们甚至在亚森家的后花园搭了一座帐篷，躲在里面让大人们找不着。,zh-cn,zh-cn,zh-cn
那个夏天充满乐趣，尽管这个城市很大，也不像萨麦拉一样晴朗炎热，小亚森还是很快就在伦敦找到了家的感觉。,zh-cn,zh-cn,zh-cn
他的英语越来越好，尤其是在安德鲁的帮助下。,zh-cn,zh-cn,zh-cn
虽然亚森还是有很多不明白的单词，也经常会因为说得没有希望的那么好而感觉自己有些傻。,zh-cn,zh-cn,zh-cn
九月终于来了，树上的叶子开始掉落。,zh-cn,zh-cn,zh-cn
亚森的爸爸告诉儿子，该到了上学的时候了。,zh-cn,zh-cn,zh-cn
亚森那时7岁，所以要去当地小学的三年级——和朋友安德鲁同一年级。,zh-cn,zh-cn,zh-cn
尽管亚森为要去上学而感到非常紧张，但他的父母向他保证那会是个有趣的地方。,zh-cn,zh-cn,zh-cn
他在那里会遇到很多新朋友，还会学到很多有趣的新事物。,zh-cn,zh-cn,zh-cn
‘英国的学校应该是非常好的。,zh-cn,zh-cn,zh-cn
